PLAYER,MY_RANK,TIER,ADP,PCT_DRAFTED,ADP_PREV,YAHOO_RANK,X_RANK,AVOID,NOTE
Obi Toppin,,,,,,333.0,194.0,False,
Olivier Sarr,,,,,,560.0,,True,
Olivier-Maxence Prosper,,,,,,318.0,,True,
Onyeka Okongwu,67,,56.9,99.0,56.9,57.0,50.0,False,
Oscar Tshiebwe,,,,,,416.0,,True,
Oso Ighodaro,147,,,,,239.0,171.0,False,
P.J. Washington,,,119.2,12.0,119.2,144.0,151.0,False,
Paolo Banchero,46,,37.5,99.0,37.7,54.0,52.0,False,
Pascal Siakam,47,,47.7,100.0,47.7,52.0,62.0,False,
Pat Spencer,,,,,,335.0,,True,
Patrick Williams,,,,,,312.0,,True,
Paul George,87,,79.6,99.0,79.7,75.0,76.0,False,
Paul Reed,112,,123.6,2.0,123.6,141.0,138.0,False,
Payton Pritchard,122,,77.1,99.0,77.1,80.0,74.0,False,
Pelle Larsson,,,,,,201.0,273.0,True,
Pete Nance,,,,,,389.0,,True,
Peyton Watson,131,,115.8,87.0,115.8,113.0,108.0,False,
Precious Achiuwa,,,,,,198.0,261.0,True,
Quentin Grimes,120,,121.4,9.0,121.6,140.0,158.0,False,
Quenton Jackson,,,,,,347.0,,True,
Quinten Post,,,,,,293.0,239.0,True,
RJ Barrett,106,,111.3,96.0,111.3,123.0,131.0,False,
Rayan Rupert,,,,,,350.0,,True,
Reed Sheppard,132,,114.7,18.0,115.8,138.0,117.0,False,
Robert Williams III,,,,,,170.0,204.0,True,
Rocco Zikarsky,,,,,,545.0,,True,
Ronald Holland II,,,,,,226.0,227.0,True,
Royce O'Neale,,,,,,243.0,202.0,False,
Rudy Gobert,69,,76.1,99.0,75.9,78.0,72.0,False,
Rui Hachimura,,,106.2,4.0,106.2,195.0,186.0,False,
Russell Westbrook,,,,,,262.0,259.0,False,
Ryan Dunn,,,,,,287.0,279.0,True,
Ryan Kalkbrenner,,,,,,194.0,214.0,False,
Ryan Rollins,57,,74.5,99.0,74.5,69.0,70.0,False,
Saddiq Bey,142,,123.1,53.0,123.1,126.0,146.0,False,
Sam Hauser,,,109.6,2.0,109.6,246.0,167.0,False,
Sam Merrill,,,,,,222.0,229.0,True,
Sandro Mamukelashvili,101,,115.1,90.0,115.1,112.0,123.0,False,
Santi Aldama,,,,,,190.0,173.0,False,
Scoot Henderson,,,,,,202.0,169.0,False,
Scottie Barnes,19,,14.2,100.0,14.1,15.0,14.0,False,
Scotty Pippen Jr.,,,,,,176.0,191.0,False,
Seth Curry,,,,,,447.0,,True,
