PLAYER,TEAM,POS,STATUS,PRE_RANK,CUR_RANK,PCT_OWNED,GP,MIN,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,FG3M,PTS,REB,AST,STL,BLK,TOV
Brice Sensabaugh,UTA,"SG,SF,PF",,258,227,5%,75,23:29,5.3,11.4,.460,2.2,2.7,.826,2.2,14.9,3.1,1.9,0.7,0.2,1.7
Jaylin Williams,OKC,"PF,C",,193,228,7%,65,19:39,2.3,5.4,.423,1.1,1.4,.793,1.5,7.2,5.5,2.4,0.5,0.6,1.0
Sam Hauser,BOS,"SF,PF",,246,229,6%,78,24:47,3.2,7.7,.419,0.2,0.3,.850,2.5,9.2,3.8,1.5,0.5,0.3,0.4
Noah Clowney,BKN,"PF,C",,279,230,5%,66,26:58,3.8,9.6,.396,2.7,3.4,.804,2.0,12.3,4.1,1.6,0.8,0.7,1.5
Jalen Green,PHX,"SG,SF",,124,231,70%,32,25:52,6.8,16.0,.422,2.0,2.7,.747,2.2,17.8,3.6,2.8,1.1,0.3,2.3
Cameron Payne,PHI,"PG,SG",NA,366,232,0%,22,17:00,2.5,6.8,.376,0.9,1.0,.864,1.5,7.4,2.0,2.6,1.1,0.3,0.5
GG Jackson,MEM,"SF,PF,C",,233,233,6%,55,21:25,4.6,9.3,.496,2.0,2.7,.742,1.2,12.5,4.3,1.5,0.6,0.8,1.5
Andre Drummond,NYK,"C",,241,234,9%,63,19:32,2.5,5.3,.472,0.8,1.3,.631,0.5,6.4,8.4,1.3,0.6,0.8,1.0
Dean Wade,PHI,"SF,PF",,285,235,2%,59,22:20,2.1,4.7,.439,0.5,0.6,.711,1.2,5.8,4.2,1.5,0.7,0.4,0.3
Kyle Kuzma,MIL,"SF,PF",,212,236,13%,69,26:10,4.9,10.0,.492,2.0,2.7,.726,1.2,13.0,4.5,2.7,0.7,0.4,1.7
Malik Monk,SAC,"PG,SG",,197,237,8%,62,22:00,4.5,10.2,.438,1.5,1.7,.879,2.0,12.5,1.9,3.0,0.6,0.4,1.5
Luke Kennard,PHX,"SG,SF",,255,238,4%,78,21:33,3.0,5.7,.533,0.8,0.9,.913,1.5,8.4,2.3,2.2,0.7,0.1,0.8
AJ Green,MIL,"PG,SG,SF",,260,239,4%,78,29:06,3.4,7.9,.424,0.7,0.8,.855,3.0,10.4,2.7,1.9,0.5,0.1,1.0
Scoot Henderson,POR,"PG",,202,240,11%,30,24:55,4.8,11.4,.418,2.8,3.3,.840,1.9,14.2,2.7,3.7,0.9,0.3,2.4
Rui Hachimura,LAC,"SF,PF",,195,241,16%,68,28:20,4.5,8.8,.514,0.7,1.1,.694,1.7,11.5,3.3,0.8,0.6,0.3,0.6
Daeqwon Plowden,SAC,"SG,SF",,376,242,1%,32,26:22,3.8,8.7,.430,1.3,1.5,.857,1.9,10.8,3.0,1.3,0.7,0.2,0.8
John Poulakidas,DAL,"SG,SF",,475,243,0%,13,19:27,3.0,7.0,.429,0.5,0.5,.857,2.4,8.8,2.3,0.8,0.5,0.3,0.3
Pelle Larsson,MIA,"SG,SF",,201,244,10%,70,26:24,4.0,8.0,.496,2.6,3.3,.797,0.9,11.4,3.5,3.4,0.7,0.2,1.4
Jock Landale,ATL,"C",,229,245,3%,68,22:09,4.1,8.1,.515,1.2,1.9,.635,1.1,10.6,5.7,1.7,0.5,0.5,0.9
Keon Ellis,BKN,"SG,SF",,230,246,4%,72,20:31,2.3,5.3,.440,0.7,1.0,.729,1.3,6.7,1.9,1.0,1.2,0.6,0.6
Mouhamadou Gueye,CHA,"PF",,565,247,0%,2,22:30,3.0,5.5,.545,1.5,2.0,.750,0.5,8.0,3.0,3.0,1.0,0.5,1.5
Zaccharie Risacher,DAL,"SF,PF",,215,248,9%,67,22:25,3.6,8.0,.455,0.9,1.3,.644,1.4,9.6,3.8,1.1,0.9,0.5,0.9
Dru Smith,MIA,"PG,SG",,280,249,1%,70,16:18,1.9,4.6,.415,1.2,1.5,.829,0.5,5.6,2.5,2.6,1.4,0.3,0.8
Kyle Anderson,TOR,"SF,PF",,317,250,1%,43,19:50,2.5,4.7,.530,1.1,1.6,.706,0.1,6.2,3.5,2.9,1.0,0.6,0.9
Coby White,CHA,"PG,SG",,85,251,77%,50,24:58,5.6,12.5,.446,3.9,4.8,.817,2.3,17.4,3.4,4.0,0.5,0.1,2.6
Alex Caruso,OKC,"SG,SF",,282,252,8%,56,18:12,2.3,5.4,.423,0.7,0.9,.804,0.9,6.2,2.8,2.0,1.3,0.3,0.9
Vít Krejčí,POR,"SG,SF",,281,253,1%,65,21:25,3.0,6.6,.448,0.6,0.8,.745,2.0,8.5,2.3,1.5,0.7,0.3,0.6
Ja'Kobe Walter,TOR,"PG,SG",,272,254,2%,72,20:28,2.5,5.6,.446,1.0,1.3,.789,1.5,7.5,2.6,1.2,1.0,0.2,0.5
Tyler Burton,MEM,"PF",,478,255,0%,12,25:34,3.5,9.3,.375,1.9,2.3,.852,1.8,10.8,4.2,1.0,0.9,0.3,0.9
Lawson Lovering,MEM,"C",,571,256,0%,2,24:30,3.0,5.0,.600,1.0,2.5,.400,0.0,7.0,7.5,1.5,1.5,0.5,1.0
Egor Dëmin,BKN,"PG,SG",,135,257,30%,52,25:09,3.4,8.6,.399,1.0,1.3,.831,2.4,10.3,3.2,3.3,0.8,0.3,1.7
Brandon Williams,GSW,"PG",,288,258,2%,66,22:10,4.4,9.3,.472,3.7,4.6,.793,0.5,13.0,2.9,3.9,0.9,0.3,1.9
Taurean Prince,DET,"SF,PF",,340,259,0%,26,23:30,3.3,7.3,.450,0.2,0.2,1.000,2.3,9.2,3.1,1.8,0.6,0.2,1.2
Harrison Barnes,SAS,"PF",,256,260,2%,77,25:47,3.4,7.5,.456,1.3,1.6,.829,1.8,9.9,2.8,1.9,0.6,0.2,0.8
Jamir Watkins,WAS,"SG,SF",INJ,338,261,1%,50,20:38,2.6,5.9,.446,1.1,1.6,.695,0.9,7.4,3.9,1.3,1.1,0.5,0.8
Kennedy Chandler,UTA,"PG",,494,262,0%,11,32:16,5.5,12.5,.445,2.5,3.9,.651,1.4,15.0,3.4,6.7,1.0,0.2,2.1
Jaylen Wells,MEM,"SG,SF",GTD,227,263,7%,69,26:23,4.4,10.1,.431,1.9,2.5,.784,1.9,12.5,3.2,1.6,0.9,0.1,1.1
Karlo Matković,NOP,"PF,C",,284,264,1%,62,14:42,2.3,3.8,.604,0.5,0.7,.732,0.6,5.7,3.7,0.8,0.4,0.9,0.5
Olivier-Maxence Prosper,MEM,"SF,PF,C",,318,265,1%,53,18:34,3.6,6.6,.549,1.6,2.2,.754,1.1,10.0,3.5,1.0,0.8,0.2,0.9
De'Andre Hunter,SAC,"SF,PF",GTD,236,266,8%,45,26:07,4.6,11.1,.415,2.8,3.2,.867,1.7,13.7,4.1,2.0,0.7,0.1,1.7
Gui Santos,GSW,"SF,PF",,200,267,12%,68,20:30,3.4,6.8,.500,1.3,1.8,.725,1.1,9.2,3.9,2.3,0.9,0.3,1.5
Svi Mykhailiuk,UTA,"SG,SF",,324,268,1%,50,23:07,3.5,7.2,.478,0.5,0.6,.893,2.0,9.4,2.5,1.9,0.5,0.1,0.8
Luguentz Dort,ATL,"SG,SF",,264,269,4%,69,26:48,2.9,7.6,.385,0.6,0.8,.759,1.9,8.3,3.6,1.2,0.9,0.4,0.8
Jarace Walker,IND,"SF,PF",,267,270,4%,76,25:42,4.0,9.6,.419,1.8,2.4,.749,1.8,11.6,5.1,2.5,0.8,0.3,1.8
Bruce Brown,DEN,"PG,SG",NA,266,271,1%,82,24:22,3.0,6.4,.475,1.2,1.5,.762,0.7,7.9,3.9,2.1,1.0,0.2,1.1
Craig Porter Jr.,CLE,"PG,SG",,301,272,1%,64,17:56,1.8,4.0,.450,0.4,0.6,.600,0.5,4.5,3.4,3.2,0.9,0.6,0.9
Isaac Okoro,CHI,"SG,SF",,286,273,1%,63,26:54,3.3,7.3,.460,1.4,1.8,.795,1.2,9.3,2.7,1.6,0.7,0.5,0.7
Jordan Miller,LAC,"SG,SF",INJ,314,274,2%,60,22:04,3.5,6.7,.531,2.3,2.9,.777,0.6,10.0,3.0,2.3,0.8,0.2,1.1
Yves Missi,NOP,"C",,186,275,10%,66,19:39,2.4,4.5,.544,0.9,1.5,.559,0.0,5.7,5.8,1.3,0.3,1.5,0.8
Will Richard,GSW,"SG,SF",,297,276,1%,69,19:57,2.3,5.0,.468,0.7,0.8,.852,1.0,6.4,2.5,1.3,1.2,0.1,0.8
Tristen Newton,HOU,"SG,SF",NA,586,277,0%,1,12:00,4.0,9.0,.444,2.0,3.0,.667,2.0,12.0,3.0,0.0,1.0,0.0,0.0
Jaxson Hayes,UTA,"C",,283,278,2%,66,18:17,3.0,4.0,.756,1.5,2.3,.653,0.0,7.5,4.1,0.9,0.4,0.8,0.5
Aaron Wiggins,ATL,"SG,SF",,271,279,8%,65,21:45,3.6,8.2,.431,0.8,1.1,.736,1.5,9.4,3.1,1.7,0.9,0.4,1.2
Zach Collins,CHI,"C",GTD,423,280,1%,10,18:24,3.7,6.4,.578,1.4,2.0,.700,0.9,9.7,5.6,1.5,0.2,0.4,1.0
Oso Ighodaro,PHX,"C",,239,281,11%,82,22:03,2.9,4.5,.653,0.6,1.4,.453,0.0,6.5,5.1,2.3,0.9,0.7,1.2
Jose Alvarado,NYK,"PG",,276,282,2%,69,19:51,2.7,6.5,.416,0.5,0.7,.761,1.5,7.4,2.5,3.4,1.0,0.1,1.1
Isaiah Jackson,LAC,"C",,228,283,4%,55,16:30,2.7,4.3,.637,1.2,1.9,.648,0.0,6.7,5.3,0.9,0.7,0.9,1.1
Luka Garza,BOS,"C",,298,284,1%,69,16:12,3.0,5.2,.577,1.3,1.7,.769,0.8,8.1,4.1,1.0,0.4,0.4,0.7
